,Unnamed: 0,artist,title,label,rank,week_start,week_end,genre,year,month,lyrics
Sabe-se ainda que havia no animo dos donatários a preocupação de aproveitar-lhes o mais possível a aliança,
captando-lhes o apego. Este proceder refletia os intuitos da metrópole. Demonstram-no-lo as sucessivas cartas
régias que, de 1570 a 1758 — em que pese ""a uma série nunca interrompida de hesitações e contradições"" —
apareceram como minorativo à ganância dos colonos visando a escravização do selvagem. — Sendo que
algumas, como a de 1680, estendiam a proteção ao ponto de decretar que se concedessem ao gentio terras ""ainda
mesmo as já dadas a outros de sesmaria"", visto que deviam ter preferência os mesmos índios ""naturais senhores
da terra"".
Contribuiu para esta tentativa persistente de incorporação a Companhia de Jesus que, obrigando-se no Sul a
transigências forçadas, dominava no Norte. Excluindo quaisquer intenções condenáveis, os jesuítas ali
realizaram tarefa nobilitadora. Foram ao menos rivais do colono ganancioso. No embate estúpido da
perversidade contra a barbaria, apareceu uma função digna àqueles eternos condenados. Fizeram muito. Eram os
únicos homens disciplinados de seu tempo. Embora quimérica a tentativa de alçar o estado mental do aborígine
às abstrações do monoteísmo, ela teve o valor de o atrair por muito tempo, até a intervenção oportuna de
Pombal, para a nossa história.
O curso das missões, no Norte, em todo o trato de terras do Maranhão à Bahia, patenteia sobretudo um lento
esforço de penetração no âmago das terras sertanejas, das fraldas da Ibiapaba às da Itiúba, que completa de
algum modo a movimentação febril das bandeiras. Se estas difundiam largamente o sangue das três raças pelas
novas paragens descobertas, provocando um entrelaçamento geral, a despeito das perturbações que acarretavam
— os aldeamentos, centros da força atrativa do apostolado, fundiam as malocas em aldeias; unificavam as
cabildas; integravam as tribos. Penetrando fundo nos sertões, graças a um esforço secular, os missionários
salvaram em parte este fator das nossas raças. Surpreendidos vários historiadores pela vinda, em grandíssima
escala, do africano, que iniciada em fins do século 16 nunca mais parou até o nosso (1850) e considerando que
ele foi o melhor aliado do português na quadra colonial, dão-lhe geralmente influência exagerada na formação do
sertanejo do Norte. Entretanto, em que pese a esta invasão de vencidos e infelizes, e à sua fecundidade rara, e a
suas qualidades de adaptação, apuradas na África adusta, é discutível que ela tenha atingido profundamente os
sertões.
É certo que o consórcio afro-lusitano era velho, anterior mesmo ao descobrimento, porque se consumara
desde o século 15, com os azenegues e jalofos de Gil Eanes e Antão Gonçalves. Em 1530 salpintavam as ruas de
Lisboa mais de 10 mil negros, e o mesmo sucedia noutros lugares. Em Évora tinham maioria sobre os brancos.
Os versos de um contemporâneo, Garcia de Resende, são um documento:
""Vemos no reino meter,
Tantos cativos crescer,
Irem-se os naturais,
Que, se assim for, serão mais
Eles que nós, a meu ver.""
A gênese do mulato
Assim a gênese do mulato teve uma sede fora do nosso país. A primeira mestiçagem com o africano operou-se
na metrópole. Entre nós, naturalmente, cresceu. A raça dominada, porém, teve, aqui, dirimidas pela situação
social, as faculdades de desenvolvimento. Organização potente afeita à humildade extrema, sem as rebeldias do
índio, o negro teve, de pronto, sobre os ombros toda a pressão da vida colonial. Era a besta de carga adstrita a
trabalhos sem folga. As velhas ordenações, estatuindo o ""como se podem enjeitar os escravos e bestas por os
acharem doentes ou mancos"", denunciam a brutalidade da época. Além disto — insistamos num ponto
incontroverso — as numerosas importações de escravos se acumulavam no litoral. A grande tarja negra debruava
a costa da Bahia ao Maranhão, mas pouco penetrava o interior. Mesmo em franca revolta, o negro humilde feito
quilombola temeroso, agrupando-se nos mocambos, parecia evitar o âmago do país. Palmares, com seus 30 mil
mocambeiros, distava afinal poucas léguas da costa.
Nesta última a uberdade da terra fixara simultaneamente dois elementos, libertando o indígena. A cultura
extensiva da cana, importada da Madeira, determinara o olvido dos sertões. Já antes da invasão holandesa, do
Rio Grande do Norte à Bahia havia 160 engenhos. E esta exploração, em dilatada escala, progrediu depois em
rápido crescendo.
O elemento africano de algum modo estacou nos vastos canaviais da costa, agrilhoado à terra e
determinando cruzamento de todo diverso do que se fazia no recesso das capitanias. Aí campeava, livre, o
indígena inapto ao trabalho e rebelde sempre, ou mal tolhido nos aldeamentos pela tenacidade dos missionários.
A escravidão negra, constituindo-se derivativo ao egoísmo dos colonos, deixava aqueles mais desembaraçados
que no Sul, nos esforços da catequese. Os próprios sertanistas ao chegarem, ultimando as rotas atrevidas, àquelas
paragens, tinham extinta a combatividade.
Alguns, como Domingos Sertão, cerravam a vida aventureira, atraídos pelos lucros das fazendas de criação,
abertas naqueles grandes latifúndios.
Deste modo se estabeleceu distinção perfeita entre os cruzamentos realizados no sertão e no litoral.
Com efeito, admitido em ambos como denominador comum o elemento branco, o mulato erige-se como
resultado principal do último e o curiboca do primeiro.
Capítulo II
Gênese dos jagunços
A demonstração é positiva. Há um notável traço de originalidade na gênese da população sertaneja, não
diremos do Norte, mas do Brasil subtropical.
Esbocemo-lo; e para não nos delongarmos demais, afastemo-nos pouco do teatro em que se desenrolou o
drama histórico de Canudos, percorrendo rapidamente o rio de São Francisco, “o grande caminho da civilização
brasileira”, conforme o dizer feliz de um historiador .
Vimos, de relance, em páginas anteriores, que ele atravessa as regiões mais dispares. Ampla nas cabeceiras,
a sua dilatada bacia colhe na rede de numerosos afluentes a metade de Minas, na zona das montanhas e das
florestas. Estreita-se depois passando na parte mediana pela paragem formosíssima dos gerais. No curso inferior,
a jusante de Juazeiro, constrita entre pendores que a desnivelam torcendo-a para o mar, torna-se pobre de
tributários, quase todos efêmeros, derivando, apertada por uma corredeira única de centenares de quilômetros,
até Paulo Afonso — e corta a região maninha das caatingas.
Ora, sob esta tríplice disposição, é um diagrama da nossa marcha histórica, refletindo, paralelamente, as
suas modalidades variáveis.
Balanceia a influência do Tietê.
Enquanto este, de traçado incomparavelmente mais próprio a penetração colonizadora, se tornou o caminho
predileto dos sertanistas visando sobretudo a escravização e o “descimento” do gentio, o S. Francisco foi, nas
altas cabeceiras, a sede essencial da agitação mineira; no curso inferior, o teatro das missões; e, na região média,
a tem clássica do regímen pastoril, único compatível com a situação econômica e social da colônia.
Bateram-lhe por igual as margens o bandeirante, o jesuíta e o vaqueiro.
Quando, mais tarde, maior cópia de documentos permitir a reconstrução da vida colonial, do século 17 ao
fim do 18, é possível que o último, de todo olvidado ainda, avulte com o destaque que merece na formação da
nossa gente. Bravo e destemeroso como o primeiro, resignado e tenaz como o segundo, tinha a vantagem de um
atributo supletivo que faltou a ambos — a fixação ao solo.
As bandeiras, sob os dois aspectos que mostram, já destacados, já confundidos, investindo com a tem ou
com o homem, buscando o ouro ou o escravo, desvendavam desmedidas paragens, que não povoavam e
deixavam porventura mais desertas, passando rápidas sobre as malocas e as catas.
A sua história, às vezes inextricável como os dizeres adrede obscuros dos roteiros, traduz a sucessão e
enlace destes estímulos únicos revezando-se quer consoante a índole dos aventureiros, quer de acordo com a
maior ou menor praticabilidade das empresas planeadas. E, neste permanente oscilar entre aqueles dois
desígnios, a sua função realmente útil, no desvendar o desconhecido, repontava como incidente obrigado,
conseqüência inevitável em que se não cuidava.
Assim é que extinta com a expedição de Glimmer (1601) a visão enganadora da serra das Esmeraldas, que
desde meados do século 18 atraíra para os flancos do Espinhaço, um após outros, inacessíveis a constantes
malogros, Bruzzo Spinosa, Sebastião Tourinho, Dias Adorno e Martins Carvalho, e desaparecendo ao norte o
pais encantado que idealizara a imaginação romântica de Gabriel Soares, grande parte do século 17 é dominada
pelas lendas sombrias dos caçadores de escravos, centralizados pela figura brutalmente heróica de Antônio
Raposo. É que se haviam apagado quase que ao mesmo tempo as miragens da misteriosa Sabará-buçu e as das
Minas de Prata, eternamente inatingíveis; até que, renovadas pelas pesquisas indecisas de Pais Leme, que avivou,
depois de um apagamento quase secular, as veredas de Glimmer; alentadas pelas oitavas de ouro de Arzão
pisando em 1693 as mesmas trilhas de Tourinho e Adorno; e ao cabo francamente ressurgindo logo depois com
Bartolomeu Bueno, em Itaberaba, e Miguel Garcia, no Ribeirão do Carmo, as entradas sertanejas volvessem ao
anelo primitivo e, irradiando do distrito de Ouro Preto, se espraiassem de novo, mais fortes, pelo país inteiro.
Ora, durante este período em que, aparentemente, só se observam, no litoral, a luta contra o batavo e, no
âmago dos planaltos, o espantoso ondular das bandeiras, surgira na região que interfere o médio São Francisco
um notável povoamento do qual os resultados somente depois apareceram.
Função histórica do rio S. Francisco
Formara-se obscuramente. Determinaram-no, em começo, as entradas a procura das minas de Moreia que,
embora anônimas e sem brilho, parecem ter-se prolongado até o governo de Lancastro, levando até as serranias
de Macaúbas, além do Paramirim, sucessivas turmas de povoadores . Vedado nos caminhos diretos e normais à
costa, mais curtos porém interrompidos pelos paredões das serras ou trancados pelas matas, o acesso fazia-se
pelo S. Francisco. Abrindo aos exploradores duas entradas únicas, à nascente e à foz, levando os homens do Sul
ao encontro dos homens do Norte, o grande rio erigia-se desde o princípio com a feição de um unificador étnico,
longo traço de união entre as duas sociedades que se não conheciam. Porque provindos dos mais diversos pontos
e origens, ou fossem os paulistas de Domingos Sertão, ou os baianos de Garcia d'Ávila, ou os pernambucanos de
Francisco Caldas, com os seus pequenos exércitos de tabajaras aliados, ou mesmo os portugueses de Manuel
Nunes Viana, que dali partiu da sua fazenda do Escuro, em Carinhanha, para comandar os emboabas no rio das
Mortes, os forasteiros, ao atingirem o âmago daquele sertão, raro voltavam.
A terra, do mesmo passo exuberante e acessível, compensava-lhes a miragem desfeita das minas cobiçadas.
A sua estrutura geológica original criando conformações topográficas em que as serranias, últimos esporões e
contrafortes da cordilheira marítima, têm a atenuante dos tabuleiros vastos; a sua flora complexa e variável, em
que se entrelaçam florestas sem a vastidão e o trançado impenetrável das do litoral, com o “mimoso” das
planuras e o “agreste” das chapadas, desafogadas, todas, salteadamente, nos vastos claros das caatingas; a sua
conformação hidrográfica especial de afluentes que se ajustam, quase simétricos, para o ocidente e o oriente
ligando-a, de um lado à costa, de outro ao centro dos planaltos — foram laços preciosos para a fusão desses
elementos esparsos, atraindo-os, entrelaçando-os. E o regímen pastoril ali se esboçou como uma sugestão
dominadora dos gerais.
Nem faltava para isto, sobre a rara fecundidade do solo recamado de pastagens naturais, um elemento
essencial, o sal, gratuito, nas baixadas salobras dos barreiros .
Constituiu-se, desta maneira favorecida, a extensa zona de criação de gado que já no alvorecer do século 18
ia das raias setentrionais de Minas a Goiás, ao Piauí, aos extremos do Maranhão e Ceará pelo ocidente e norte e
às serranias das lavras baianas, a leste. Povoara-se e crescera autônoma e forte, mas obscura, desadorada dos
cronistas do tempo, de todo esquecida não já pela metrópole longínqua senão pelos próprios governadores e
vice-reis. Não produzia impostos ou rendas que interessassem o egoísmo da coroa. Refletia, entretanto,
contraposta à turbulência do litoral e às aventuras das minas, ""o quase único aspecto tranqüilo da nossa cultura"".
A parte os raros contingentes de povo adores pernambucanos e baianos, a maioria dos criadores opulentos, que
ali se formaram? vinha do sul, constituída pela mesma gente entusiasta e enérgica das bandeiras.
Os jagunços: colaterais prováveis dos paulistas
Segundo o que se colhe em preciosas páginas de Pedro Taques, foram numerosas as famílias de S. Paulo
que, em contínuas migrações, procuraram aqueles rincões longínquos, e acredita-se, aceitando o conceito de um
historiógrafo perspicaz, que o ""vale de S. Francisco, já aliás muito povoado de paulistas e de seus descendentes
desde o século 18, tornou-se uma como colônia quase exclusiva deles"" . É natural por isto que Bartolomeu
Bueno, ao descobrir Goiás, visse, surpreendido, sinais evidentes de predecessores, anônimos pioneiros que ali
tinham chegado, certo, pelo levante, transmontando a serra de Paranã; e que ao se reabrir em 1697 o ciclo mais
notável das pesquisas do ouro, nas agitadas e ruidosas vagas de imigrantes, que rolavam dos flancos orientais da
serra do Espinhaço ao talvegue do rio das Velhas, passassem mais fortes talvez, talvez precedendo as demais no
descobrimento das minas de Caeté, e sulcando-as de meio a meio, e avançando em direção contrária como um
refluxo promanado do Norte, as turmas dos ""baianos"", termo que, como o de ""paulista"", se tornara genérico no
abranger os povoadores setentrionais.
O vaqueiro
É que já se formara no vale médio do grande rio uma raça de cruzados idênticos àqueles mamalucos
estrênuos que tinham nascido em S. Paulo. E não nos demasiamos em arrojada hipótese admitindo que este tipo
extraordinário do paulista, surgindo e decaindo logo no Sul, numa degeneração completa ao ponto de declinar no
próprio território que lhe deu o nome, ali renascesse e, sem os perigos das migrações e do cruzamento, se
conservasse prolongando, intacta, ao nosso tempo, a índole varonil e aventureira dos avós.
Porque ali ficaram, inteiramente divorciados do resto do Brasil e do mundo, murados a leste pela serra
Geral, tolhidos no ocidente pelos amplos campos gerais, que se desatam para o Piauí e que ainda hoje o sertanejo
acredita sem fins.
O meio atraía-os e guardava-os.
As entradas de um e outro lado da meridiana, impróprias à dispersão, facilitavam antes o entrelaçamento
dos extremos do país. Ligavam-nos no espaço e no tempo. Estabelecendo no interior a contigüidade do
povoamento, que faltava ainda em parte na costa, e surgindo entre os nortistas, que lutavam pela autonomia da
pátria nascente, e os sulistas, que lhe alargavam a área, abastecendo-os por igual com as fartas boiadas que
subiam para o vale do rio das Velhas ou desciam até as cabeceiras do Parnaíba, aquela rude sociedade,
incompreendida e olvidada, era o cerne vigoroso da nossa nacionalidade.
Os primeiros sertanistas que a criaram, tendo suplantado em toda a linha o selvagem, depois de o
dominarem escravizaram-no e captaram-no, aproveitando-lhe a índole na nova indústria que abraçavam.
Veio subseqüentemente o cruzamento inevitável. E despontou logo uma raça de curibocas puros quase sem
mescla de sangue africano, facilmente denunciada, hoje, pelo tipo normal daqueles sertanejos. Nasciam de um
amplexo feroz de vitoriosos e vencidos. Criaram-se numa sociedade revolta e aventurosa, sobre a terra farta; e
tiveram, ampliando os seus atributos ancestrais, uma rude escola de forca e de coragem naqueles gerais
amplíssimos, onde ainda hoje ruge impune o jaguar e vagueia a ema velocíssima, ou nas serranias de flancos
despedaçados pela mineração superficial, quando as lavras baianas, mais tarde, lhes deram esse derivativo à
faina dos rodeios.
Fora longo traçar-lhes a evolução do caráter. Caldeadas a índole aventureira do colono e a impulsividade do
indígena, tiveram, ulteriormente, o cultivo do próprio meio que lhes propiciou, pelo insulamento, a conservação
dos atributos e hábitos avoengos, ligeiramente modificados apenas consoante as novas exigências da vida. E ali
estão com as suas vestes características, os seus hábitos antigos, o seu estranho aferro às tradições mais remotas,
o seu sentimento religioso levado até o fanatismo, e o seu exagerado ponto de honra, e o seu folclore belíssimo
de rimas de três séculos...
Raça forte e antiga, de caracteres definidos e imutáveis mesmo nas maiores crises — quando a roupa de
couro do vaqueiro se faz a armadura flexível do jagunço — oriunda de elementos convergentes de todos os
pontos, porém diversa das demais deste país, ela é inegavelmente um expressivo exemplo do quanto importam as
reações do meio. Expandindo-se pelos sertões limítrofes ou próximos, de Goiás, Piauí, Maranhão, Ceará e
Pernambuco, tem um caráter de originalidade completa expresso mesmo nas fundações que erigiu. Todos os
povoados, vilas ou cidades, que lhe animam hoje o território, têm uma origem uniforme bem destacada das dos
demais que demoram ao norte e ao sul.
Enquanto deste lado se levantaram nas cercanias das minas ou à margem das catas, e no extremo norte, a
partir de dilatada linha entre a Itiúba e Ibiapaba, sobre o local de antigas aldeias das missões, ali surgiram, todas,
de antigas fazendas de gado.
Escusamo-nos de apontar exemplos por demais numerosos. Quem considera as povoações do S. Francisco,
das nascentes à foz, assiste à sucessão dos três casos apontados.
Deixa as regiões alpestres, cidades alcandoradas sobre serras, refletindo o arrojo incomparável das
bandeiras; atravessa depois os grandes gerais, desmedidas arenas feitas à sociedade rude, libérrima e forte dos
vaqueiros; e atinge por fim as paragens pouco apetecidas, amaninhadas pelas secas, eleitas aos roteiros lentos e
penosos das missões...
É o que indicam, completando estes ligeiros confrontos, os traçados das fundações jesuíticas, no trato de
terras que há pouco demarcamos.
Fundações jesuíticas na Bahia
Com efeito, ali, totalmente diversos na origem, os atuais povoados sertanejos se formaram de velhas aldeias
de índios, arrebatadas, em 1758, do poder dos padres pela política severa de Pombal. Resumindo-nos aos que
ainda hoje existem, próximos e em torno do lugar onde existia há cinco anos a Tróia de taipa dos jagunços,
vemos, mesmo em tão estreita área, os melhores exemplos.
De fato, em toda esta superfície de terras, que abusivas concessões de sesmarias subordinavam à posse de
uma só família, a de Garcia d'Ávila (Casa da Torre), acham-se povoados antiqüíssimos. De Itapicuru-de-Cima a
Jeremoabo e daí acompanhando o S. Francisco até os sertões de Rodelas e Cabrobó, avançaram logo no século
17 as missões num lento caminhar que continuaria até o nosso tempo.
Não tiveram um historiador.
A extraordinária empresa apenas se retrata, hoje, em raros documentos, escassos demais para traçarem a sua
continuidade. Os que existem, porém, são eloqüentes para o caso especial que consideramos. Dizem, de modo
iniludível, que, enquanto o negro se agitava na azáfama do litoral, o indígena se fixava em aldeamentos que se
tornariam cidades. A solicitude calculada do jesuíta e a rara abnegação dos capuchinhos e franciscanos
incorporavam as tribos à nossa vida nacional e quando no alvorecer do século 18 os paulistas irromperam em
Pambu e na Jacobina, deram de vistas, surpresos, nas paróquias que, ali, já centralizavam cabildas. O primeiro
daqueles lugares, 22 léguas a montante de Paulo Afonso, desde 1682 se incorporara à administração da
metrópole. Um capuchinho dominava-o, desfazendo as dissenções tribais e imperando, humílimo, sobre os
morubixabas mansos. No segundo preponderava, igualmente exclusivo, o elemento indígena da velhíssima
missão do Saí.
Jeremoabo aparece, já em 1698, como julgado, o que permite admitir-se-lhe origem muito mais remota. Aí o
elemento indígena se mesclava ligeiramente com o africano, o canhembora ao quilombola . Incomparavelmente
mais animado do que hoje, o humilde lugarejo desviava para si, não raro, a atenção de João de Lancastro,
governador geral do Brasil, principalmente quando se exacerbavam as rivalidades dos chefes índios, munidos
com as patentes, perfeitamente legais, de capitães. Em 1702 a primeira missão dos franciscanos disciplinou
aqueles lugares, tornando-se mais eficaz que as ameaças do governo. Harmonizaram-se as cabildas; e o afluxo de
silvícolas captados pela Igreja foi tal que em um só dia o vigário de Itapicuru batizou 3.700 catecúmenos .
Perto se erigia, também vetusta, a missão de Maçacará, onde, em 1687, tinha o opulento Garcia d'Ávila uma
companhia de seu regimento. Mais para o sul avultavam outras: Natuba, também bastante antiga aldeia, ereta
pelos jesuítas; Inhambupe, que no elevar-se a paróquia originou larga controvérsia entre os padres e o rico
sesmeiro precitado; Itapicuru ( 1639 ), fundada pelos franciscanos.
Mais para o norte, ao começar o século 18, o povoamento, com os mesmos elementos, continuou mais
intenso, diretamente favorecido pela metrópole.
Na segunda metade do século 17 surgira no sertão de Rodelas a vanguarda das bandeiras do sul. Domingos
Sertão centralizou na sua fazenda do Sobrado o círculo animado da vida sertaneja. A ação desse rude sertanista,
naquela região, não tem tido o relevo que merece. Quase na confluência das capitanias setentrionais, próximo ao
mesmo tempo do Piauí, do Ceará, de Pernambuco e da Bahia, o rústico landlord colonial aplicou no trato de suas
cinqüenta fazendas de criação a índole aventurosa e irrequieta dos curibocas. Ostentando, como os outros
dominadores do solo, um feudalismo achamboado — que o levava a transmudar, em vassalos os foreiros
humildes e em servos os tapuias mansos —, o bandeirante atingindo aquelas paragens, e havendo conseguido o
seu ideal de riqueza e poderio, aliava-se na mesma função integradora ao seu tenaz e humilde adversário, o
padre. 1: que a metrópole, no Norte, secundava, sem vacilar, os esforços deste último. Firmara-se desde muito o
princípio de combater o índio com o próprio índio, de sorte que cada aldeamento de catecúmenos era um reduto
ante as incursões dos silvícolas soltos e indomáveis.
Ao terminar o século 17, Lancastro fundou com o indígena catequizado o arraial da Barra, para atenuar as
depredações dos Acaroazes e Mocoazes. E daquele ponto à feição da corrente do São Francisco sucederam-se os
aldeamentos e as missões, em Nossa Senhora do Pilar, Sorobabé, Pambu, Aracapá, Pontal, Pajeú etc. É evidente,
pois, que, precisamente no trecho dos sertões baianos mais ligados aos dos demais Estados do Norte — em toda
a orla do sertão de Canudos — se estabeleceu desde o alvorecer da nossa história um farto povoamento, em que
sobressaía o aborígine amalgamando-se ao branco e ao negro, sem que estes se avolumassem ao ponto de dirimir
a sua influência inegável.
As fundações ulteriores à expulsão dos jesuítas calcaram-se no mesmo método. Do final do século 18 ao
nosso, em Pombal, no Cumbe, em Bom Conselho e Monte Santo etc., perseverantes missionários, de que é
modelo belíssimo Apolônio de Todi, continuaram até os nossos dias o apostolado penoso.
Ora, toda essa população perdida num recanto dos sertões lá permaneceu até agora, reproduzindo-se livre de
elementos estranhos, como que insulada, e realizando, por isso mesmo, a máxima intensidade de cruzamento
uniforme capaz de justificar o aparecimento de um tipo mestiço bem definido, completo.
Enquanto mil causas perturbadoras complicavam a mestiçagem no litoral revolvido pelas imigrações e pela
guerra; e noutros pontos centrais outros empeços irrompiam no rastro das bandeiras — ali, a população indígena,
aliada aos raros mocambeiros foragidos, brancos escapos à justiça ou aventureiros audazes, persistiu dominante.
Causas favoráveis à formação mestiça nos sertões
distinguindo-a dos cruzamentos no litoral
Não sofismemos a História Causas muito enérgicas determinaram o insulamento e conservação do
autóctone. Destaquemo-las.
Foram, primeiro, as grandes concessões de sesmarias, definidoras da feição mais durável do nosso
feudalismo tacanho.
Os possuidores do solo, de que são modelos clássicos os herdeiros de Antônio Guedes de Brito, eram ciosos
dos dilatados latifúndios, sem raias, avassalando a terra. A custo toleravam a intervenção da própria metrópole.
A ereção de capelas, ou paróquias, em suas terras fazia-se sempre através de controvérsias com os padres; e
embora estes afinal ganhassem a partida caíam de algum modo sob o domínio dos grandes potentados. Estes
dificultavam a entrada de novos povoadores ou concorrentes e tornavam as fazendas de criação, dispersas em
torno das freguesias recém-formadas, poderosos centros de atração à raça mestiça que delas promanava.
Assim, esta se desenvolveu fora do influxo de outros elementos. E entregues à vida pastoril, a que por
índole se afeiçoavam, os curibocas ou cafuzos trigueiros, antecedentes diretos dos vaqueiros atuais, divorciados
inteiramente das gentes do sul e da colonização intensa do litoral, evolveram, adquirindo uma fisionomia
original. Como que se criaram num país diverso.
A carta régia de 7 de fevereiro de 1701 foi, depois, uma medida supletiva desse isolamento. Proibira,
cominando severas penas aos infratores, quaisquer comunicações daquela parte dos sertões com o sul, com as
minas de São Paulo. Nem mesmo as relações comerciais foram toleradas; interditas as mais simples trocas de
produtos.
Ora, além destes motivos, sobreleva-se, considerando a gênese do sertanejo no extremo norte, um outro: o
meio físico dos sertões em todo o vasto território que se alonga do leito do Vaza-Barris ao do Parnaíba, no
ocidente.
Vimos-lhe a fisionomia original: a flora agressiva, o clima impiedoso, as secas periódicas, o solo estéril
crespo de serranias desnudas, insulado entre os esplendores do majestoso araxá do centro dos planaltos e as
grandes matas, que acompanham e orlam a curvatura das costas. Esta região ingrata para a qual o próprio tupi
tinha um termo sugestivo pora-pora-eima, remanescente ainda numa das serranias que a fecham pelo levante (
Borborema ), foi o asilo do tapuia. Batidos pelo português, pelo negro e pelo tupi coligados, refluindo ante o
número, os indômitos Cariris encontraram proteção singular naquele colo duro da terra, escalavrado pelas
tormentas, endurado pela ossamenta rígida das pedras, ressequido pelas soalheiras, esvurmando espinheirais e
caatingas. Ali se amorteciam, caindo no vácuo das chapadas, onde ademais nenhuns indícios se mostravam dos
minérios apetecidos, os arremessos das bandeiras. A tapui-retama misteriosa ataviara-se para o estoicismo do
missionário. As suas veredas multívias e longas retratavam a marcha lenta, torturante e dolorosa dos apóstolos.
As bandeiras, que a alcançavam, decampavam logo, seguindo, rápidas, fugindo, buscando outras paragens.
Assombrava-as a terra, que se modelara para as grandes batalhas silenciosas da fé. Deixavam-na, sem que
nada lhes determinasse a volta; e deixavam em paz o gentio.
Daí a circunstância, revelada por uma observação feliz, de predominarem ainda hoje, nas denominações
geográficas daqueles lugares, termos de origem tapuia resistentes às absorções do português e do tupi, que se
exercitaram noutros pontos. Sem nos delongarmos demais, resumamos às terras circunjacentes a Canudos a
exemplificação deste fato de linguagem, que tão bem traduz uma vicissitude histórica.
""Transpondo o S. Francisco em direção ao sul, penetra-se de novo numa região ingrata pela inclemência do
céu, e vai-se atravessando a bacia elevada do Vaza-Barris, antes de ganhar os trechos esparsos e mais deprimidos
das chapadas baianas que, depois do salto de Paulo Afonso, depois de Canudos e de Monte Santo, levam a
Itiúba, ao Tombador e ao Açuruá. Aí, nesse trecho do pátrio território, aliás dos mais ingratos, onde outrora se
refugiaram os perseguidos destroços dos Orizes, Procás e Cariris, de novo aparecem, designando os lugares, os
nomes bárbaros de procedência tapuia, que nem o português nem o tupi logrou suplantar.
Lêem-se então no mapa da região com a mesma freqüência dos acidentes topográficos os nomes como
Pambu, Patamuté, Uauá, Bendegó, Cumbe, Maçacará, Cocorobó, Jeremoabo, Tragagó, Canché. Chorrochó,
Quincuncá, Conchó, Centocé, Açuruá, Xique-Xique, Jequié, Sincorá, Caculé ou Catolé, Orobó, Mocugé, e
outros, igualmente bárbaros e estranhos.""
É natural que grandes populações sertanejos, de par com as que se constituíam no médio S. Francisco, se
formassem ali com a dosagem preponderante do sangue tapuia. E lá ficassem ablegadas, evolvendo em círculo
apertado durante três séculos, até a nossa idade, num abandono completo, de todo alheio aos nossos destinos,
guardando, intactas, as tradições do passado. De sorte que. hoje, quem atravessa aqueles lugares observa uma
uniformidade notável entre os que os povoam: feições e estaturas variando ligeiramente em torno de um modelo
único, dando a impressão de um tipo antropológico invariável, logo ao primeiro lance de vistas distinto do
mestiço proteiforme do litoral. Porque enquanto este patenteia todos os cambiantes da cor e se erige ainda
indefinido, segundo o predomínio variável dos seus agentes formadores, e homem do sertão parece feito por um
molde único, revelando quase os mesmos caracteres físicos, a mesma tez, variando brevemente do mamaluco
bronzeado ao cafuz trigueiro; cabelo corredio e duro ou levemente ondeado; a mesma envergadura atlética e os
mesmos caracteres morais traduzindo-se nas mesmas superstições. nos mesmos vícios, e nas mesmas virtudes.
A uniformidade, sob estes vários aspectos, é impressionadora. O sertanejo do norte é, inegavelmente, o tipo
de uma subcategoria étnica já constituída.
Um parêntesis irritante
Abramos um parêntesis...
A mistura de raças mui diversas é, na maioria dos casos, prejudicial. Ante as conclusões do evolucionismo,
ainda quando reaja sobre o produto o influxo de uma raça superior, despontam vivíssimos estigmas da inferior. A
mestiçagem extremada é um retrocesso. O indo-europeu, o negro e o brasílio-guarani ou o tapuia, exprimem
estádios evolutivos que se fronteiam, e o cruzamento, sobre obliterar as qualidades preeminentes do primeiro, é
um estimulante à revivescência dos atributos primitivos dos últimos. De sorte que o mestiço — traço de união
entre as raças, breve existência individual em que se comprimem esforços seculares — é, quase sempre, um
desequilibrado. Foville compara-os, de um modo geral, aos histéricos. Mas o desequilíbrio nervoso, em tal caso,
é incurável: não há terapêutica para este embater de tendências antagonistas, de raças repentinamente
aproximadas, fundidas num organismo isolado. Não se compreende que após divergirem extremadamente,
através de largos períodos entre os quais a História é um momento, possam dois ou três povos convergir, de
súbito, combinando constituições mentais diversas, anulando em pouco tempo distinções resultantes de um lento
trabalho seletivo. Como nas somas algébricas, as qualidades dos elementos que se justapõem não se
acrescentam, subtraem-se ou destróem-se segundo os caracteres positivos e negativos em presença. E o mestiço
— mulato, mamaluco ou cafuz — menos que um intermediário, é um decaído, sem a energia física dos
ascendentes selvagens, sem a altitude intelectual dos ancestrais superiores. Contrastando com a fecundidade que
acaso possua, ele revela casos de hibridez moral extraordinários: espíritos fulgurantes, às vezes, mais frágeis,
irrequietos, inconstantes, deslumbrando um momento e extinguindo-se prestes, feridos pela fatalidade das leis
biológicas, chumbados ao plano inferior da raça menos favorecida. Impotente para formar qualquer solidariedade
entre as gerações opostas, de que resulta, reflete-lhes os vários aspectos predominantes num jogo permanente de
antíteses. E quando avulta — não são raros os casos — capaz das grandes generalizações ou de associar as mais
complexas relações abstratas, todo esse vigor mental repousa (salvante os casos excepcionais cujo destaque
justifica o conceito) sobre uma moralidade rudimentar, em que se pressente o automatismo impulsivo das raças
inferiores.
É que nessa concorrência admirável dos povos, evolvendo todos em luta sem tréguas, na qual a seleção
capitaliza atributos que a hereditariedade conserva, o mestiço é um intruso. Não lutou; não é uma integração de
esforços; é alguma coisa de dispersivo e dissolvente; surge, de repente, sem caracteres próprios, oscilando entre
